"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"beta[34,3]","15","1.117","0.154","0.002","0.007","0.142","0.149","0.153","0.159","0.169"
"beta[34,4]","78","1.014","0.111","0.001","0.006","0.098","0.107","0.111","0.115","0.122"
"beta[34,5]","83","1.056","0.099","0.001","0.006","0.088","0.095","0.099","0.103","0.111"
"beta[34,6]","12","1.138","0.128","0.001","0.004","0.12","0.124","0.127","0.13","0.138"
"beta[35,1]","126","1.039","0.335","0.001","0.013","0.31","0.325","0.335","0.343","0.36"
"beta[35,2]","71","1.041","0.191","0.002","0.016","0.163","0.18","0.19","0.201","0.225"
"beta[35,3]","15","1.134","0.15","0.002","0.008","0.137","0.144","0.149","0.155","0.165"
"beta[35,4]","65","1.013","0.107","0.001","0.006","0.095","0.104","0.107","0.112","0.119"
"beta[35,5]","104","1.025","0.094","0.001","0.006","0.082","0.09","0.094","0.098","0.107"
"beta[35,6]","27","1.087","0.123","0.001","0.005","0.115","0.12","0.123","0.126","0.133"
"beta[36,1]","111","1.043","0.336","0.001","0.013","0.313","0.327","0.336","0.344","0.362"
"beta[36,2]","72","1.041","0.207","0.002","0.015","0.181","0.197","0.207","0.217","0.24"
"beta[36,3]","13","1.142","0.145","0.002","0.007","0.132","0.14","0.144","0.149","0.161"
"beta[36,4]","43","1.022","0.104","0.001","0.006","0.093","0.1","0.104","0.108","0.115"
"beta[36,5]","64","1.04","0.089","0.001","0.006","0.078","0.085","0.089","0.093","0.1"
"beta[36,6]","23","1.108","0.118","0.001","0.004","0.11","0.115","0.118","0.121","0.127"
"beta[37,1]","144","1.053","0.343","0.001","0.008","0.327","0.338","0.343","0.348","0.36"
"beta[37,2]","69","1.024","0.225","0.001","0.009","0.209","0.219","0.225","0.231","0.242"
"beta[37,3]","21","1.101","0.142","0.001","0.005","0.131","0.139","0.142","0.145","0.153"
"beta[37,4]","59","1.009","0.098","0.001","0.004","0.089","0.095","0.098","0.101","0.106"
"beta[37,5]","112","1.036","0.081","0","0.004","0.073","0.078","0.081","0.083","0.088"
"beta[37,6]","25","1.135","0.111","0.001","0.003","0.104","0.109","0.111","0.113","0.117"
"beta[38,1]","240","1.009","0.34","0","0.005","0.33","0.337","0.34","0.344","0.35"
"beta[38,2]","242","1.007","0.196","0","0.004","0.188","0.193","0.196","0.199","0.205"
"beta[38,3]","51","1.071","0.152","0.001","0.004","0.145","0.15","0.152","0.155","0.16"
"beta[38,4]","93","1.022","0.106","0","0.003","0.1","0.104","0.106","0.108","0.112"
"beta[38,5]","72","1.023","0.083","0","0.003","0.077","0.081","0.083","0.085","0.089"
"beta[38,6]","35","1.117","0.122","0","0.003","0.116","0.12","0.122","0.124","0.127"
"beta[39,1]","158","1.006","0.34","0.001","0.012","0.317","0.332","0.339","0.347","0.363"
"beta[39,2]","197","1.022","0.208","0.001","0.013","0.184","0.199","0.208","0.216","0.234"
"beta[39,3]","61","1.04","0.15","0.001","0.006","0.138","0.146","0.15","0.154","0.161"
"beta[39,4]","60","1.07","0.106","0.001","0.005","0.096","0.103","0.106","0.11","0.117"
"beta[39,5]","64","1.036","0.081","0.001","0.005","0.071","0.077","0.08","0.084","0.09"
"beta[39,6]","38","1.037","0.116","0.001","0.004","0.108","0.113","0.116","0.118","0.123"
"beta[40,1]","78","1.01","0.338","0.002","0.014","0.309","0.328","0.337","0.347","0.366"
"beta[40,2]","136","1.033","0.22","0.001","0.015","0.191","0.209","0.219","0.23","0.25"
"beta[40,3]","58","1.042","0.146","0.001","0.007","0.132","0.141","0.146","0.151","0.159"
"beta[40,4]","42","1.107","0.106","0.001","0.006","0.093","0.101","0.106","0.11","0.117"
"beta[40,5]","78","1.027","0.078","0.001","0.005","0.067","0.074","0.078","0.081","0.088"
"beta[40,6]","33","1.034","0.114","0.001","0.004","0.105","0.11","0.114","0.116","0.122"
"beta[41,1]","81","1.01","0.337","0.002","0.015","0.307","0.327","0.336","0.347","0.367"
"beta[41,2]","102","1.027","0.231","0.002","0.017","0.2","0.219","0.231","0.243","0.265"
"beta[41,3]","52","1.051","0.141","0.001","0.007","0.128","0.136","0.141","0.147","0.155"
"beta[41,4]","51","1.061","0.105","0.001","0.006","0.093","0.1","0.104","0.109","0.117"
"beta[41,5]","106","1.026","0.075","0.001","0.005","0.064","0.071","0.075","0.078","0.085"
"beta[41,6]","29","1.064","0.111","0.001","0.005","0.102","0.108","0.111","0.114","0.121"
"beta[42,1]","78","1.027","0.335","0.002","0.014","0.309","0.326","0.334","0.344","0.362"
"beta[42,2]","121","1.026","0.244","0.001","0.015","0.216","0.235","0.244","0.254","0.274"
"beta[42,3]","59","1.066","0.137","0.001","0.007","0.124","0.133","0.137","0.142","0.15"
"beta[42,4]","63","1.054","0.103","0.001","0.006","0.093","0.1","0.103","0.107","0.115"
"beta[42,5]","89","1.04","0.072","0.001","0.005","0.062","0.068","0.072","0.075","0.081"
"beta[42,6]","23","1.118","0.108","0.001","0.004","0.101","0.105","0.108","0.111","0.118"
"beta[43,1]","61","1.052","0.337","0.001","0.009","0.319","0.331","0.336","0.343","0.356"
"beta[43,2]","224","1.004","0.261","0.001","0.009","0.244","0.255","0.261","0.267","0.279"
