,n_eff,Rhat,mean,mcse,sd,2.5%,25%,50%,75%,97.5%
"forecast[1,1]",68,"1,063","0,409","0,041","0,342","0,002","0,081","0,327","0,731","0,996"
"forecast[1,2]",37,"1,064","0,194","0,048","0,29",0,0,"0,03","0,28","0,963"
"forecast[1,3]",75,"1,047","0,046","0,015","0,133",0,0,0,"0,01","0,527"
"forecast[1,4]",53,"1,065","0,123","0,03","0,216",0,0,"0,011","0,133","0,739"
"forecast[1,5]",26,"1,098","0,19","0,054","0,274",0,"0,001","0,025","0,313","0,881"
"forecast[1,6]",30,"1,157","0,038","0,024","0,134",0,0,0,"0,004","0,523"
"forecast[2,1]",68,"1,064","0,409","0,041","0,342","0,002","0,081","0,327","0,732","0,996"
"forecast[2,2]",37,"1,064","0,194","0,048","0,29",0,0,"0,03","0,281","0,963"
"forecast[2,3]",74,"1,047","0,046","0,015","0,133",0,0,0,"0,011","0,525"
"forecast[2,4]",53,"1,065","0,123","0,03","0,216",0,0,"0,011","0,133","0,735"
"forecast[2,5]",26,"1,098","0,19","0,054","0,274",0,"0,001","0,025","0,311","0,881"
"forecast[2,6]",30,"1,157","0,038","0,024","0,134",0,0,0,"0,004","0,524"
"forecast[3,1]",68,"1,063","0,409","0,041","0,342","0,002","0,081","0,326","0,732","0,996"
"forecast[3,2]",37,"1,064","0,194","0,048","0,291",0,0,"0,03","0,28","0,963"
"forecast[3,3]",74,"1,047","0,046","0,015","0,133",0,0,0,"0,011","0,526"
"forecast[3,4]",53,"1,065","0,123","0,03","0,216",0,0,"0,011","0,133","0,733"
"forecast[3,5]",26,"1,098","0,19","0,054","0,274",0,"0,001","0,025","0,312","0,882"
"forecast[3,6]",30,"1,157","0,038","0,024","0,134",0,0,0,"0,004","0,522"
"forecast[4,1]",68,"1,064","0,409","0,041","0,342","0,002","0,081","0,325","0,731","0,996"
"forecast[4,2]",37,"1,064","0,194","0,048","0,291",0,0,"0,03","0,281","0,963"
"forecast[4,3]",74,"1,047","0,046","0,015","0,133",0,0,0,"0,011","0,524"
"forecast[4,4]",53,"1,065","0,123","0,03","0,216",0,0,"0,011","0,133","0,732"
"forecast[4,5]",26,"1,098","0,19","0,054","0,274",0,"0,001","0,025","0,313","0,883"
"forecast[4,6]",30,"1,157","0,038","0,024","0,134",0,0,0,"0,004","0,522"
