"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"beta[26,1]","7,175","1","0.629","0","0.013","0.603","0.62","0.629","0.638","0.655"
"beta[26,2]","2,342","1.001","0.132","0","0.006","0.12","0.128","0.132","0.136","0.145"
"beta[26,3]","2,699","1.001","0.104","0","0.005","0.094","0.1","0.104","0.107","0.114"
"beta[26,4]","1,603","1","0.135","0","0.006","0.123","0.13","0.135","0.139","0.147"
"beta[27,1]","5,196","1","0.635","0","0.019","0.597","0.623","0.635","0.647","0.672"
"beta[27,2]","2,908","1","0.13","0","0.008","0.115","0.125","0.13","0.135","0.146"
"beta[27,3]","3,379","1","0.102","0","0.006","0.09","0.098","0.102","0.107","0.115"
"beta[27,4]","1,945","1","0.132","0","0.008","0.118","0.127","0.132","0.137","0.148"
"beta[28,1]","4,116","1","0.64","0","0.021","0.599","0.627","0.641","0.654","0.682"
"beta[28,2]","2,764","1.001","0.128","0","0.009","0.112","0.122","0.128","0.134","0.145"
"beta[28,3]","3,380","1","0.101","0","0.007","0.088","0.096","0.101","0.105","0.114"
"beta[28,4]","2,034","1.001","0.13","0","0.008","0.114","0.125","0.13","0.136","0.147"
"beta[29,1]","3,962","1.001","0.646","0","0.021","0.604","0.632","0.646","0.66","0.688"
"beta[29,2]","2,296","1.001","0.126","0","0.009","0.109","0.12","0.126","0.132","0.143"
"beta[29,3]","3,376","1.001","0.1","0","0.007","0.086","0.095","0.099","0.104","0.113"
"beta[29,4]","1,815","1.001","0.128","0","0.008","0.112","0.123","0.128","0.134","0.145"
"beta[30,1]","4,033","1.001","0.651","0","0.02","0.611","0.637","0.651","0.664","0.691"
"beta[30,2]","2,332","1.001","0.124","0","0.008","0.108","0.119","0.124","0.13","0.141"
"beta[30,3]","3,203","1.001","0.098","0","0.007","0.085","0.094","0.098","0.103","0.111"
"beta[30,4]","1,723","1.001","0.127","0","0.008","0.111","0.121","0.127","0.132","0.142"
"beta[31,1]","4,182","1","0.655","0","0.017","0.623","0.644","0.655","0.666","0.687"
"beta[31,2]","1,825","1.001","0.124","0","0.007","0.109","0.119","0.123","0.128","0.138"
"beta[31,3]","2,765","1.001","0.097","0","0.006","0.086","0.093","0.097","0.101","0.109"
"beta[31,4]","1,828","1","0.124","0","0.007","0.111","0.12","0.124","0.129","0.138"
"beta[32,1]","4,337","1","0.654","0","0.02","0.615","0.64","0.654","0.667","0.692"
"beta[32,2]","3,051","1","0.124","0","0.008","0.108","0.118","0.124","0.129","0.14"
"beta[32,3]","2,984","1.001","0.097","0","0.007","0.085","0.093","0.097","0.101","0.11"
"beta[32,4]","1,803","1","0.126","0","0.008","0.111","0.12","0.126","0.131","0.141"
"beta[33,1]","4,441","1","0.653","0","0.021","0.613","0.64","0.653","0.667","0.694"
"beta[33,2]","3,551","1","0.124","0","0.009","0.107","0.118","0.124","0.13","0.141"
"beta[33,3]","3,020","1.001","0.097","0","0.007","0.084","0.092","0.097","0.101","0.111"
"beta[33,4]","2,131","1","0.126","0","0.008","0.11","0.12","0.126","0.131","0.142"
"beta[34,1]","4,484","1","0.653","0","0.02","0.614","0.64","0.653","0.666","0.693"
"beta[34,2]","3,840","1","0.124","0","0.008","0.108","0.118","0.124","0.13","0.141"
"beta[34,3]","3,063","1.001","0.097","0","0.007","0.084","0.093","0.097","0.101","0.11"
"beta[34,4]","2,086","1","0.126","0","0.008","0.11","0.12","0.126","0.131","0.141"
"beta[35,1]","5,331","1","0.653","0","0.017","0.619","0.641","0.653","0.665","0.688"
"beta[35,2]","4,282","1","0.124","0","0.008","0.11","0.119","0.124","0.129","0.139"
"beta[35,3]","3,068","1","0.097","0","0.006","0.085","0.093","0.097","0.101","0.109"
"beta[35,4]","1,949","1","0.126","0","0.007","0.112","0.121","0.126","0.131","0.14"
"beta[36,1]","7,378","1","0.654","0","0.011","0.634","0.647","0.654","0.661","0.675"
"beta[36,2]","3,757","1.001","0.125","0","0.005","0.114","0.121","0.125","0.128","0.135"
"beta[36,3]","2,999","1.002","0.097","0","0.004","0.088","0.094","0.097","0.1","0.106"
"beta[36,4]","1,489","1","0.125","0","0.005","0.114","0.121","0.125","0.128","0.135"
"beta[37,1]","9,259","1","0.641","0","0.014","0.614","0.632","0.642","0.651","0.668"
"beta[37,2]","4,092","1.001","0.129","0","0.007","0.116","0.124","0.129","0.133","0.142"
"beta[37,3]","3,427","1","0.1","0","0.005","0.09","0.096","0.1","0.103","0.11"
"beta[37,4]","1,972","1","0.13","0","0.006","0.119","0.126","0.13","0.134","0.143"
"beta[38,1]","8,791","1","0.621","0","0.01","0.601","0.614","0.621","0.627","0.64"
"beta[38,2]","3,724","1","0.136","0","0.006","0.125","0.132","0.136","0.14","0.147"
"beta[38,3]","3,082","1.001","0.104","0","0.005","0.095","0.1","0.104","0.107","0.113"
"beta[38,4]","2,331","1","0.14","0","0.005","0.13","0.136","0.14","0.143","0.15"
"beta[39,1]","5,664","1","0.653","0","0.022","0.608","0.638","0.653","0.668","0.695"
"beta[39,2]","4,133","1.002","0.123","0","0.015","0.094","0.112","0.122","0.133","0.154"
"beta[39,3]","3,812","1.001","0.091","0","0.013","0.067","0.082","0.091","0.1","0.119"
"beta[39,4]","1,536","1.003","0.133","0","0.016","0.103","0.122","0.133","0.144","0.165"
