"","n_eff","Rhat","mean","mcse","sd","2.5%","25%","50%","75%","97.5%"
"alphastarforecast[1,1]","1,675","1.002","1.585","0.004","0.146","1.311","1.484","1.582","1.68","1.883"
"alphastarforecast[1,2]","1,754","1.004","-0.093","0.005","0.191","-0.465","-0.221","-0.093","0.036","0.287"
"alphastarforecast[1,3]","1,667","1.003","-0.39","0.005","0.206","-0.789","-0.527","-0.391","-0.257","0.017"
"alphastarforecast[2,1]","1,711","1.002","1.585","0.004","0.148","1.307","1.483","1.581","1.681","1.882"
"alphastarforecast[2,2]","1,756","1.004","-0.093","0.005","0.192","-0.469","-0.223","-0.093","0.037","0.289"
"alphastarforecast[2,3]","1,684","1.003","-0.39","0.005","0.206","-0.792","-0.527","-0.39","-0.254","0.018"
"alphastarforecast[3,1]","1,748","1.002","1.585","0.004","0.149","1.304","1.484","1.581","1.682","1.885"
"alphastarforecast[3,2]","1,764","1.004","-0.093","0.005","0.193","-0.469","-0.223","-0.093","0.038","0.29"
"alphastarforecast[3,3]","1,695","1.003","-0.39","0.005","0.207","-0.792","-0.529","-0.391","-0.254","0.02"
"alphastarforecast[4,1]","1,766","1.002","1.585","0.004","0.15","1.303","1.483","1.581","1.682","1.885"
"alphastarforecast[4,2]","1,778","1.004","-0.093","0.005","0.194","-0.473","-0.225","-0.092","0.039","0.291"
"alphastarforecast[4,3]","1,731","1.003","-0.39","0.005","0.208","-0.794","-0.53","-0.391","-0.252","0.019"
"alphastarforecast_prior[1,1]","1,675","1.002","1.585","0.004","0.146","1.311","1.484","1.582","1.68","1.883"
"alphastarforecast_prior[1,2]","1,754","1.004","-0.093","0.005","0.191","-0.465","-0.221","-0.093","0.036","0.287"
"alphastarforecast_prior[1,3]","1,667","1.003","-0.39","0.005","0.206","-0.789","-0.527","-0.391","-0.257","0.017"
"alphastarforecast_prior[1,4]","","","0","","0","0","0","0","0","0"
"alphastarforecast_prior[2,1]","1,711","1.002","1.585","0.004","0.148","1.307","1.483","1.581","1.681","1.882"
"alphastarforecast_prior[2,2]","1,756","1.004","-0.093","0.005","0.192","-0.469","-0.223","-0.093","0.037","0.289"
"alphastarforecast_prior[2,3]","1,684","1.003","-0.39","0.005","0.206","-0.792","-0.527","-0.39","-0.254","0.018"
"alphastarforecast_prior[2,4]","","","0","","0","0","0","0","0","0"
"alphastarforecast_prior[3,1]","1,748","1.002","1.585","0.004","0.149","1.304","1.484","1.581","1.682","1.885"
"alphastarforecast_prior[3,2]","1,764","1.004","-0.093","0.005","0.193","-0.469","-0.223","-0.093","0.038","0.29"
"alphastarforecast_prior[3,3]","1,695","1.003","-0.39","0.005","0.207","-0.792","-0.529","-0.391","-0.254","0.02"
"alphastarforecast_prior[3,4]","","","0","","0","0","0","0","0","0"
"alphastarforecast_prior[4,1]","1,766","1.002","1.585","0.004","0.15","1.303","1.483","1.581","1.682","1.885"
"alphastarforecast_prior[4,2]","1,778","1.004","-0.093","0.005","0.194","-0.473","-0.225","-0.092","0.039","0.291"
"alphastarforecast_prior[4,3]","1,731","1.003","-0.39","0.005","0.208","-0.794","-0.53","-0.391","-0.252","0.019"
"alphastarforecast_prior[4,4]","","","0","","0","0","0","0","0","0"
"forecast[1,1]","5,648","1","0.652","0","0.023","0.606","0.636","0.652","0.667","0.695"
"forecast[1,2]","4,026","1.002","0.123","0","0.016","0.094","0.112","0.122","0.133","0.155"
"forecast[1,3]","3,849","1.001","0.091","0","0.013","0.067","0.082","0.091","0.1","0.12"
"forecast[1,4]","1,507","1.003","0.134","0","0.016","0.103","0.123","0.134","0.145","0.168"
"forecast[2,1]","6,021","1","0.652","0","0.023","0.605","0.636","0.652","0.668","0.696"
"forecast[2,2]","4,101","1.002","0.123","0","0.016","0.093","0.112","0.122","0.133","0.156"
"forecast[2,3]","3,908","1.001","0.091","0","0.014","0.066","0.082","0.091","0.1","0.12"
"forecast[2,4]","1,521","1.003","0.134","0","0.017","0.103","0.123","0.134","0.146","0.168"
"forecast[3,1]","5,899","1","0.652","0","0.024","0.603","0.636","0.652","0.668","0.697"
"forecast[3,2]","4,093","1.002","0.123","0","0.016","0.093","0.112","0.122","0.133","0.156"
"forecast[3,3]","3,928","1.001","0.091","0","0.014","0.067","0.082","0.091","0.1","0.121"
"forecast[3,4]","1,540","1.003","0.134","0","0.017","0.103","0.123","0.134","0.146","0.168"
"forecast[4,1]","6,164","1","0.651","0","0.025","0.602","0.635","0.652","0.669","0.698"
"forecast[4,2]","4,291","1.002","0.123","0","0.016","0.092","0.111","0.122","0.134","0.157"
"forecast[4,3]","4,132","1.001","0.091","0","0.014","0.066","0.082","0.091","0.1","0.121"
"forecast[4,4]","1,546","1.002","0.134","0","0.017","0.103","0.123","0.134","0.146","0.168"
